Tournament,LeftPlayerName,RightPlayerName,Player1Char,Player2Char,Player3Char,Player4Char,Level,Winner,GameNumber
genesis 5,axe,mango,Pikachu_Blue,Fox_Red,NA,NA,Pokemon Stadium,P1:Pikachu_Blue,2
Frame,P1Dmg,P2Dmg,P3Dmg,P4Dmg,P1Stocks,P2Stocks,P3Stocks,P4Stocks,Time
360,56,37,NA,NA,4,4,NA,NA,NA
361,56,37,NA,NA,4,4,NA,NA,NA
362,56,37,NA,NA,4,4,NA,NA,NA
363,56,37,NA,NA,4,4,NA,NA,NA
364,56,37,NA,NA,4,4,NA,NA,NA
365,56,37,NA,NA,4,4,NA,NA,NA
366,56,37,NA,NA,4,4,NA,NA,NA
367,56,37,NA,NA,4,4,NA,NA,NA
368,56,37,NA,NA,4,4,NA,NA,NA
369,56,37,NA,NA,4,4,NA,NA,NA
370,56,37,NA,NA,4,4,NA,NA,NA
371,56,37,NA,NA,4,4,NA,NA,NA
372,56,37,NA,NA,4,4,NA,NA,NA
373,56,37,NA,NA,4,4,NA,NA,NA
374,56,37,NA,NA,4,4,NA,NA,NA
375,56,37,NA,NA,4,4,NA,NA,NA
376,56,37,NA,NA,4,4,NA,NA,NA
377,56,37,NA,NA,4,4,NA,NA,NA
378,56,37,NA,NA,4,4,NA,NA,NA
379,56,37,NA,NA,4,4,NA,NA,NA
380,56,37,NA,NA,4,4,NA,NA,NA
381,56,37,NA,NA,4,4,NA,NA,NA
382,56,37,NA,NA,4,4,NA,NA,NA
383,56,37,NA,NA,4,4,NA,NA,NA
384,56,37,NA,NA,4,4,NA,NA,NA
385,56,37,NA,NA,4,4,NA,NA,NA
386,56,37,NA,NA,4,4,NA,NA,NA
387,56,48,NA,NA,4,4,NA,NA,NA
388,56,48,NA,NA,4,4,NA,NA,NA
389,56,48,NA,NA,4,4,NA,NA,NA
390,56,48,NA,NA,4,4,NA,NA,NA
391,56,48,NA,NA,4,4,NA,NA,NA
392,56,48,NA,NA,4,4,NA,NA,NA
393,56,48,NA,NA,4,4,NA,NA,NA
394,56,48,NA,NA,4,4,NA,NA,NA
395,56,48,NA,NA,4,4,NA,NA,NA
396,56,48,NA,NA,4,4,NA,NA,NA
397,56,48,NA,NA,4,4,NA,NA,NA
398,56,48,NA,NA,4,4,NA,NA,NA
399,56,48,NA,NA,4,4,NA,NA,NA
400,56,48,NA,NA,4,4,NA,NA,NA
401,56,48,NA,NA,4,4,NA,NA,NA
402,56,48,NA,NA,4,4,NA,NA,NA
403,56,48,NA,NA,4,4,NA,NA,NA
404,56,48,NA,NA,4,4,NA,NA,NA
405,56,48,NA,NA,4,4,NA,NA,NA
406,56,48,NA,NA,4,4,NA,NA,NA
407,56,48,NA,NA,4,4,NA,NA,NA
408,56,48,NA,NA,4,4,NA,NA,NA
409,56,48,NA,NA,4,4,NA,NA,NA
410,56,48,NA,NA,4,4,NA,NA,NA
411,56,48,NA,NA,4,4,NA,NA,NA
412,61,48,NA,NA,4,4,NA,NA,NA
413,61,48,NA,NA,4,4,NA,NA,NA
414,61,48,NA,NA,4,4,NA,NA,NA
415,61,48,NA,NA,4,4,NA,NA,NA
416,61,48,NA,NA,4,4,NA,NA,NA
417,61,48,NA,NA,4,4,NA,NA,NA
418,61,48,NA,NA,4,4,NA,NA,NA
419,61,48,NA,NA,4,4,NA,NA,NA
420,61,48,NA,NA,4,4,NA,NA,NA
421,61,48,NA,NA,4,4,NA,NA,NA
422,61,48,NA,NA,4,4,NA,NA,NA
423,61,48,NA,NA,4,4,NA,NA,NA
424,61,48,NA,NA,4,4,NA,NA,NA
425,61,48,NA,NA,4,4,NA,NA,NA
426,61,48,NA,NA,4,4,NA,NA,NA
427,61,48,NA,NA,4,4,NA,NA,NA
428,61,48,NA,NA,4,4,NA,NA,NA
429,61,48,NA,NA,4,4,NA,NA,NA
430,61,48,NA,NA,4,4,NA,NA,NA
431,61,48,NA,NA,4,4,NA,NA,NA
432,61,48,NA,NA,4,4,NA,NA,NA
433,61,48,NA,NA,4,4,NA,NA,NA
434,61,48,NA,NA,4,4,NA,NA,NA
435,61,48,NA,NA,4,4,NA,NA,NA
436,61,48,NA,NA,4,4,NA,NA,NA
437,61,48,NA,NA,4,4,NA,NA,NA
438,61,48,NA,NA,4,4,NA,NA,NA
439,61,48,NA,NA,4,4,NA,NA,NA
440,61,48,NA,NA,4,4,NA,NA,NA
441,61,48,NA,NA,4,4,NA,NA,NA
442,61,48,NA,NA,4,4,NA,NA,NA
443,61,48,NA,NA,4,4,NA,NA,NA
444,61,48,NA,NA,4,4,NA,NA,NA
445,61,48,NA,NA,4,4,NA,NA,NA
446,61,48,NA,NA,4,4,NA,NA,NA
447,61,48,NA,NA,4,4,NA,NA,NA
448,61,48,NA,NA,4,4,NA,NA,NA
449,61,48,NA,NA,4,4,NA,NA,NA
