Tournament,LeftPlayerName,RightPlayerName,Player1Char,Player2Char,Player3Char,Player4Char,Level,Winner,GameNumber,GameType(Optional)
genesis 5,plup,hbox,NA,Fox_Green,NA,JigglyPuff_Green,Fountain of Dreams,P4:JigglyPuff_Green,1,WF
Frame,P1Dmg,P2Dmg,P3Dmg,P4Dmg,P1Stocks,P2Stocks,P3Stocks,P4Stocks,Time
365,NA,0,NA,35,NA,4,NA,4,NA
366,NA,0,NA,35,NA,4,NA,4,NA
367,NA,0,NA,35,NA,4,NA,4,NA
368,NA,0,NA,35,NA,4,NA,4,NA
369,NA,0,NA,35,NA,4,NA,4,NA
370,NA,0,NA,35,NA,4,NA,4,NA
371,NA,0,NA,35,NA,4,NA,4,NA
372,NA,0,NA,35,NA,4,NA,4,NA
373,NA,0,NA,35,NA,4,NA,4,NA
374,NA,0,NA,35,NA,4,NA,4,NA
375,NA,0,NA,35,NA,4,NA,4,NA
376,NA,0,NA,35,NA,4,NA,4,NA
377,NA,0,NA,35,NA,4,NA,4,NA
378,NA,0,NA,35,NA,4,NA,4,NA
379,NA,0,NA,35,NA,4,NA,4,NA
380,NA,0,NA,35,NA,4,NA,4,NA
381,NA,0,NA,35,NA,4,NA,4,NA
382,NA,0,NA,35,NA,4,NA,4,NA
383,NA,0,NA,35,NA,4,NA,4,NA
384,NA,0,NA,35,NA,4,NA,4,NA
385,NA,0,NA,35,NA,4,NA,4,NA
386,NA,0,NA,35,NA,4,NA,4,NA
387,NA,0,NA,35,NA,4,NA,4,NA
388,NA,0,NA,35,NA,4,NA,4,NA
389,NA,0,NA,35,NA,4,NA,4,NA
390,NA,0,NA,35,NA,4,NA,4,NA
391,NA,0,NA,35,NA,4,NA,4,NA
392,NA,0,NA,35,NA,4,NA,4,NA
393,NA,0,NA,35,NA,4,NA,4,NA
394,NA,0,NA,35,NA,4,NA,4,NA
395,NA,0,NA,35,NA,4,NA,4,NA
396,NA,0,NA,35,NA,4,NA,4,NA
397,NA,0,NA,35,NA,4,NA,4,NA
398,NA,0,NA,35,NA,4,NA,4,NA
399,NA,0,NA,35,NA,4,NA,4,NA
400,NA,0,NA,35,NA,4,NA,4,NA
401,NA,0,NA,35,NA,4,NA,4,NA
402,NA,0,NA,35,NA,4,NA,4,NA
403,NA,0,NA,35,NA,4,NA,4,NA
404,NA,0,NA,35,NA,4,NA,4,NA
405,NA,0,NA,35,NA,4,NA,4,NA
406,NA,0,NA,35,NA,4,NA,4,NA
407,NA,0,NA,35,NA,4,NA,4,NA
408,NA,0,NA,35,NA,4,NA,4,NA
409,NA,0,NA,35,NA,4,NA,4,NA
410,NA,0,NA,35,NA,4,NA,4,NA
411,NA,0,NA,35,NA,4,NA,4,NA
412,NA,0,NA,35,NA,4,NA,4,NA
413,NA,0,NA,35,NA,4,NA,4,NA
414,NA,0,NA,35,NA,4,NA,4,NA
415,NA,0,NA,35,NA,4,NA,4,NA
416,NA,0,NA,35,NA,4,NA,4,NA
417,NA,0,NA,35,NA,4,NA,4,NA
418,NA,0,NA,35,NA,4,NA,4,NA
419,NA,0,NA,35,NA,4,NA,4,NA
420,NA,0,NA,35,NA,4,NA,4,NA
421,NA,0,NA,35,NA,4,NA,4,NA
422,NA,0,NA,35,NA,4,NA,4,NA
423,NA,0,NA,35,NA,4,NA,4,NA
424,NA,0,NA,35,NA,4,NA,4,NA
425,NA,0,NA,35,NA,4,NA,4,NA
426,NA,0,NA,35,NA,4,NA,4,NA
427,NA,0,NA,35,NA,4,NA,4,NA
428,NA,0,NA,35,NA,4,NA,4,NA
429,NA,0,NA,35,NA,4,NA,4,NA
430,NA,0,NA,35,NA,4,NA,4,NA
431,NA,0,NA,35,NA,4,NA,4,NA
432,NA,0,NA,35,NA,4,NA,4,NA
433,NA,0,NA,35,NA,4,NA,4,NA
434,NA,0,NA,35,NA,4,NA,4,NA
435,NA,0,NA,35,NA,4,NA,4,NA
436,NA,0,NA,35,NA,4,NA,4,NA
437,NA,3,NA,35,NA,4,NA,4,NA
438,NA,3,NA,35,NA,4,NA,4,NA
439,NA,3,NA,35,NA,4,NA,4,NA
440,NA,3,NA,35,NA,4,NA,4,NA
441,NA,3,NA,35,NA,4,NA,4,NA
442,NA,3,NA,35,NA,4,NA,4,NA
443,NA,3,NA,35,NA,4,NA,4,NA
444,NA,3,NA,35,NA,4,NA,4,NA
445,NA,3,NA,35,NA,4,NA,4,NA
446,NA,3,NA,35,NA,4,NA,4,NA
447,NA,3,NA,35,NA,4,NA,4,NA
