Tournament,LeftPlayerName,RightPlayerName,Player1Char,Player2Char,Player3Char,Player4Char,Level,Winner,GameNumber
genesis 5,hugs,lucky,Samus_Pink,Fox_Red,NA,NA,Dreamland,P2:Fox_Red,1
Frame,P1Dmg,P2Dmg,P3Dmg,P4Dmg,P1Stocks,P2Stocks,P3Stocks,P4Stocks,Time
391,62,15,NA,NA,4,4,NA,NA,NA
392,62,15,NA,NA,4,4,NA,NA,NA
393,62,15,NA,NA,4,4,NA,NA,NA
394,62,15,NA,NA,4,4,NA,NA,NA
395,62,15,NA,NA,4,4,NA,NA,NA
396,62,15,NA,NA,4,4,NA,NA,NA
397,62,15,NA,NA,4,4,NA,NA,NA
398,62,15,NA,NA,4,4,NA,NA,NA
399,62,15,NA,NA,4,4,NA,NA,NA
400,62,15,NA,NA,4,4,NA,NA,NA
401,62,15,NA,NA,4,4,NA,NA,NA
402,62,15,NA,NA,4,4,NA,NA,NA
403,62,15,NA,NA,4,4,NA,NA,NA
404,62,15,NA,NA,4,4,NA,NA,NA
405,62,15,NA,NA,4,4,NA,NA,NA
406,62,15,NA,NA,4,4,NA,NA,NA
407,62,15,NA,NA,4,4,NA,NA,NA
408,62,15,NA,NA,4,4,NA,NA,NA
409,62,15,NA,NA,4,4,NA,NA,NA
410,62,15,NA,NA,4,4,NA,NA,NA
411,62,15,NA,NA,4,4,NA,NA,NA
412,62,15,NA,NA,4,4,NA,NA,NA
413,62,15,NA,NA,4,4,NA,NA,NA
414,62,15,NA,NA,4,4,NA,NA,NA
415,62,15,NA,NA,4,4,NA,NA,NA
416,62,15,NA,NA,4,4,NA,NA,NA
417,62,15,NA,NA,4,4,NA,NA,NA
418,62,15,NA,NA,4,4,NA,NA,NA
419,62,15,NA,NA,4,4,NA,NA,NA
420,62,15,NA,NA,4,4,NA,NA,NA
421,62,15,NA,NA,4,4,NA,NA,NA
422,62,15,NA,NA,4,4,NA,NA,NA
423,62,15,NA,NA,4,4,NA,NA,NA
424,62,15,NA,NA,4,4,NA,NA,NA
425,62,15,NA,NA,4,4,NA,NA,NA
426,62,15,NA,NA,4,4,NA,NA,NA
427,62,15,NA,NA,4,4,NA,NA,NA
428,62,15,NA,NA,4,4,NA,NA,NA
429,62,15,NA,NA,4,4,NA,NA,NA
430,62,15,NA,NA,4,4,NA,NA,NA
431,62,15,NA,NA,4,4,NA,NA,NA
432,62,15,NA,NA,4,4,NA,NA,NA
433,62,15,NA,NA,4,4,NA,NA,NA
434,62,15,NA,NA,4,4,NA,NA,NA
435,62,15,NA,NA,4,4,NA,NA,NA
